"id","area","path","line","kind","qualifiedName","signature","classification","entryAnchor","status","sourceFingerprint","rationale","reviewedAt"
"cpp:src/backend/cpp/bounding_region.cpp:calculate_bounding_line_segment(const std::vector<CodeNumber> & code_numbers,const std::vector<XYZ> & code_angles,const LinComArrZ<XYEta> & constraint)","cpp","src/backend/cpp/bounding_region.cpp","481","function","calculate_bounding_line_segment","(const std::vector<CodeNumber> & code_numbers,const std::vector<XYZ> & code_angles,const LinComArrZ<XYEta> & constraint)","deep","exact-bounding-region","reviewed","53e7ef7c08c90ddd7b056107d8c42a3e606e73f5dc4cb0933ebd74cda4ea9844","Source-order entry covers exact representation Cramer intersection all unstable and polygon sign cases strict-open semantics orientation and tests.","2026-07-16"
"cpp:src/backend/cpp/bounding_region.cpp:refine_polygon(const RationalPolygon & polygon,const LinComArrZ<XYEta> & line)","cpp","src/backend/cpp/bounding_region.cpp","501","function","refine_polygon","(const RationalPolygon & polygon,const LinComArrZ<XYEta> & line)","deep","exact-bounding-region","reviewed","53e7ef7c08c90ddd7b056107d8c42a3e606e73f5dc4cb0933ebd74cda4ea9844","Source-order entry covers exact representation Cramer intersection all unstable and polygon sign cases strict-open semantics orientation and tests.","2026-07-16"
"cpp:src/backend/cpp/bounding_region.cpp:refine_polygon#__anond0e4376f0102() ","cpp","src/backend/cpp/bounding_region.cpp","503","function","refine_polygon#__anond0e4376f0102","() ","deep","exact-bounding-region","reviewed","53e7ef7c08c90ddd7b056107d8c42a3e606e73f5dc4cb0933ebd74cda4ea9844","Source-order entry covers exact representation Cramer intersection all unstable and polygon sign cases strict-open semantics orientation and tests.","2026-07-16"
"cpp:src/backend/cpp/bounding_region.cpp:calculate_bounding_polygon(const std::vector<CodeNumber> & code_numbers,const std::vector<XYZ> & code_angles)","cpp","src/backend/cpp/bounding_region.cpp","612","function","calculate_bounding_polygon","(const std::vector<CodeNumber> & code_numbers,const std::vector<XYZ> & code_angles)","deep","exact-bounding-region","reviewed","53e7ef7c08c90ddd7b056107d8c42a3e606e73f5dc4cb0933ebd74cda4ea9844","Source-order entry covers exact representation Cramer intersection all unstable and polygon sign cases strict-open semantics orientation and tests.","2026-07-16"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#create(std::vector<int> & dirtyCodeNumbers)","cpp","src/backend/cpp/classified_code_sequence.cpp","7","function","ClassifiedCodeSequence#create","(std::vector<int> & dirtyCodeNumbers)","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#create(std::vector<int> & dirtyCodeNumbers)","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#calculateOddEvenPattern(const std::vector<int> & codeNumbers)","cpp","src/backend/cpp/classified_code_sequence.cpp","36","function","ClassifiedCodeSequence#calculateOddEvenPattern","(const std::vector<int> & codeNumbers)","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#calculateOddEvenPattern(const std::vector<int> & codeNumbers)","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#calculateCodeType(std::vector<int> & codeNumbers)","cpp","src/backend/cpp/classified_code_sequence.cpp","44","function","ClassifiedCodeSequence#calculateCodeType","(std::vector<int> & codeNumbers)","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#calculateCodeType(std::vector<int> & codeNumbers)","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#calculateCodeSum(const std::vector<int> & codeNumbers)","cpp","src/backend/cpp/classified_code_sequence.cpp","57","function","ClassifiedCodeSequence#calculateCodeSum","(const std::vector<int> & codeNumbers)","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#calculateCodeSum(const std::vector<int> & codeNumbers)","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#isStableCodeType(CodeType codeType)","cpp","src/backend/cpp/classified_code_sequence.cpp","63","function","ClassifiedCodeSequence#isStableCodeType","(CodeType codeType)","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#isStableCodeType(CodeType codeType)","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#isOdd(const std::vector<int> & codeNumbers)","cpp","src/backend/cpp/classified_code_sequence.cpp","84","function","ClassifiedCodeSequence#isOdd","(const std::vector<int> & codeNumbers)","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#isOdd(const std::vector<int> & codeNumbers)","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#isClosed(std::vector<int> & codeNumbers)","cpp","src/backend/cpp/classified_code_sequence.cpp","109","function","ClassifiedCodeSequence#isClosed","(std::vector<int> & codeNumbers)","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#isClosed(std::vector<int> & codeNumbers)","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#isStable(const std::vector<int> & codeNumbers)","cpp","src/backend/cpp/classified_code_sequence.cpp","154","function","ClassifiedCodeSequence#isStable","(const std::vector<int> & codeNumbers)","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#isStable(const std::vector<int> & codeNumbers)","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#length() const","cpp","src/backend/cpp/classified_code_sequence.cpp","204","function","ClassifiedCodeSequence#length","() const","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#length() const","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#toString() const","cpp","src/backend/cpp/classified_code_sequence.cpp","206","function","ClassifiedCodeSequence#toString","() const","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#toString() const","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#operator ==(ClassifiedCodeSequence & other) const","cpp","src/backend/cpp/classified_code_sequence.cpp","208","function","ClassifiedCodeSequence#operator ==","(ClassifiedCodeSequence & other) const","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#operator ==(ClassifiedCodeSequence & other) const","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#equals(ClassifiedCodeSequence other)","cpp","src/backend/cpp/classified_code_sequence.cpp","212","function","ClassifiedCodeSequence#equals","(ClassifiedCodeSequence other)","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#equals(ClassifiedCodeSequence other)","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#operator <(const ClassifiedCodeSequence & other) const","cpp","src/backend/cpp/classified_code_sequence.cpp","219","function","ClassifiedCodeSequence#operator <","(const ClassifiedCodeSequence & other) const","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#operator <(const ClassifiedCodeSequence & other) const","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#compareTo(const ClassifiedCodeSequence other)","cpp","src/backend/cpp/classified_code_sequence.cpp","223","function","ClassifiedCodeSequence#compareTo","(const ClassifiedCodeSequence other)","deep","cpp:src/backend/cpp/classified_code_sequence.cpp:ClassifiedCodeSequence#compareTo(const ClassifiedCodeSequence other)","reviewed","b4e24cd0f9e8ee3e2dedff63080e708938a2635aa50b77b906db98e49b73af91","Exact native classification, parity, closedness, stability mathematics, identity, ordering, failure, parity-test, and ownership contracts in handbook Section 14.154.","2026-07-18"
"cpp:src/backend/cpp/code_sequence.cpp:is_repeated(const std::vector<CodeNumber> & code_numbers,const size_t sub_length)","cpp","src/backend/cpp/code_sequence.cpp","4","function","is_repeated","(const std::vector<CodeNumber> & code_numbers,const size_t sub_length)","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:next_angle(const XYZ prev,const XYZ curr,const CodeNumber number)","cpp","src/backend/cpp/code_sequence.cpp","16","function","next_angle","(const XYZ prev,const XYZ curr,const CodeNumber number)","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:is_legal(const std::vector<CodeNumber> & code_numbers,const size_t end)","cpp","src/backend/cpp/code_sequence.cpp","27","function","is_legal","(const std::vector<CodeNumber> & code_numbers,const size_t end)","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:smallest_index(const std::vector<CodeNumber> & code_numbers)","cpp","src/backend/cpp/code_sequence.cpp","59","function","smallest_index","(const std::vector<CodeNumber> & code_numbers)","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:least_rotation_index(const std::vector<CodeNumber> & input)","cpp","src/backend/cpp/code_sequence.cpp","81","function","least_rotation_index","(const std::vector<CodeNumber> & input)","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:rotated_copy(const std::vector<CodeNumber> & values,const size_t start)","cpp","src/backend/cpp/code_sequence.cpp","114","function","rotated_copy","(const std::vector<CodeNumber> & values,const size_t start)","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:minimal_rotation(std::vector<CodeNumber> & code_numbers)","cpp","src/backend/cpp/code_sequence.cpp","130","function","minimal_rotation","(std::vector<CodeNumber> & code_numbers)","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:validate(const std::vector<CodeNumber> & code_numbers)","cpp","src/backend/cpp/code_sequence.cpp","148","function","validate","(const std::vector<CodeNumber> & code_numbers)","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:validate#__anon5a5f46a90102(const auto num) ","cpp","src/backend/cpp/code_sequence.cpp","158","function","validate#__anon5a5f46a90102","(const auto num) ","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:CodeSequence#CodeSequence(const std::vector<CodeNumber> & code_numbers_)","cpp","src/backend/cpp/code_sequence.cpp","174","function","CodeSequence#CodeSequence","(const std::vector<CodeNumber> & code_numbers_)","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:CodeSequence#begin() const","cpp","src/backend/cpp/code_sequence.cpp","185","function","CodeSequence#begin","() const","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:CodeSequence#end() const","cpp","src/backend/cpp/code_sequence.cpp","189","function","CodeSequence#end","() const","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
"cpp:src/backend/cpp/code_sequence.cpp:is_palindrome(const std::vector<CodeNumber> & code_numbers,size_t i)","cpp","src/backend/cpp/code_sequence.cpp","193","function","is_palindrome","(const std::vector<CodeNumber> & code_numbers,size_t i)","deep","native-code-sequence","reviewed","28868e53fb4a5795aa15dabea58600f83b6aac2a84e080c722e5ddae966c4db9","Explained in source order with contracts, branches, invariants, worked traces, hazards, and change effects in Sections 14.3-14.5.","2026-07-16"
